layer,head,avg_sas_no_cot,frequency_no_cot,avg_sas_2S_cot,frequency_2S_cot,total_frequency
17,61,-2.1175869999316785,11.0,-2.109633879861392,12.0,23.0
17,62,-0.5898009859644598,7.0,-0.1927760538056643,14.0,21.0
26,24,-1.7323846545922683,12.0,-0.4315366264455611,9.0,21.0
21,30,-1.4671029824390946,9.0,-0.16588909191102125,9.0,18.0
30,33,-3.2435782790082333,12.0,-1.2372591145833334,6.0,18.0
31,35,-1.2716933912754078,10.0,-0.13482765362093752,8.0,18.0
14,21,-1.9648423151582222,5.0,-1.6343706370440827,12.0,17.0
27,38,-2.9316953777636843,11.0,-1.106316087221909,6.0,17.0
33,16,-2.1249594907407405,6.0,-1.0744724680338833,10.0,16.0
17,12,-0.4503075906886484,6.0,-0.23715647817993699,6.0,12.0
21,61,-0.16008397258778725,2.0,-0.14584755647520767,6.0,8.0
31,36,-1.0513881137376433,4.0,-0.18993502298702636,4.0,8.0
18,43,-2.643824604774706,6.0,-1.16796875,2.0,8.0
19,4,0.0,0.0,-0.9450736406156127,7.0,7.0
76,44,-0.0343566917628418,2.0,-0.12843774755024068,5.0,7.0
27,44,-1.2334111507706775,7.0,0.0,0.0,7.0
29,27,-0.5348116564192346,6.0,0.0,0.0,6.0
30,30,-0.38632937461306266,6.0,0.0,0.0,6.0
44,40,-0.0447325887559335,1.0,-0.186939785823721,5.0,6.0
31,37,0.0,0.0,-0.13441076207166971,5.0,5.0
31,42,-0.7767896890333414,3.0,-0.04002348855809045,2.0,5.0
32,52,-0.13240457092974817,4.0,0.0,0.0,4.0
70,8,0.0,0.0,-0.037663641030855025,4.0,4.0
78,38,-0.24894048145839143,2.0,-0.06139172414938605,2.0,4.0
76,61,0.0,0.0,-0.11169861379881679,4.0,4.0
35,43,-2.022683216271948,4.0,0.0,0.0,4.0
21,19,-0.3019935578643727,4.0,0.0,0.0,4.0
15,21,0.0,0.0,-0.10899982088568755,4.0,4.0
33,44,-0.5664582420397807,3.0,0.0,0.0,3.0
77,53,-0.04517985482654915,2.0,-0.1382853190104166,1.0,3.0
23,41,0.0,0.0,-0.7012593806003585,3.0,3.0
52,21,-1.4023256655092593,1.0,-0.8286597842261905,2.0,3.0
60,25,0.0,0.0,-0.07260759984589953,3.0,3.0
31,31,0.0,0.0,-0.13619877850567844,2.0,2.0
17,59,0.0,0.0,-0.11655888005778095,2.0,2.0
28,40,-0.0449695000465905,2.0,0.0,0.0,2.0
44,44,0.0,0.0,-0.14231863037207654,2.0,2.0
72,7,-0.24557613687855856,2.0,0.0,0.0,2.0
69,39,0.0,0.0,-0.05602834280823871,2.0,2.0
76,58,-0.0342176219342879,2.0,0.0,0.0,2.0
33,14,-0.17080463521620803,2.0,0.0,0.0,2.0
21,24,-0.1753048366970486,1.0,-0.1759033203125,1.0,2.0
30,47,-2.636630544354839,2.0,0.0,0.0,2.0
23,42,0.0,0.0,-0.06523806781446509,2.0,2.0
18,45,0.0,0.0,-1.140625,1.0,1.0
16,37,-0.4453125,1.0,0.0,0.0,1.0
12,62,-0.41015625,1.0,0.0,0.0,1.0
14,23,0.0,0.0,-0.0136907070497923,1.0,1.0
14,31,0.0,0.0,-0.0904927571614583,1.0,1.0
11,14,-0.12628173828125,1.0,0.0,0.0,1.0
18,47,-0.65625,1.0,0.0,0.0,1.0
17,27,0.0,0.0,-0.982421875,1.0,1.0
18,41,-0.443359375,1.0,0.0,0.0,1.0
20,63,-0.5464728860294118,1.0,0.0,0.0,1.0
20,9,-0.1163872612847222,1.0,0.0,0.0,1.0
18,59,0.0,0.0,-0.060601806640625,1.0,1.0
18,48,-2.22421875,1.0,0.0,0.0,1.0
29,55,0.0,0.0,-0.0510933168472782,1.0,1.0
29,61,-0.071319580078125,1.0,0.0,0.0,1.0
28,47,-0.171435546875,1.0,0.0,0.0,1.0
28,45,0.0,0.0,-0.0142236932923522,1.0,1.0
27,21,0.0,0.0,-0.0712447627898185,1.0,1.0
26,28,-0.0288329043630826,1.0,0.0,0.0,1.0
25,11,0.0,0.0,-0.05615234375,1.0,1.0
21,36,0.0,0.0,-0.0222231864929199,1.0,1.0
25,37,-0.0377998834923852,1.0,0.0,0.0,1.0
30,29,-0.3729073660714285,1.0,0.0,0.0,1.0
30,24,-0.1159142886891084,1.0,0.0,0.0,1.0
28,16,-0.0417296976982792,1.0,0.0,0.0,1.0
31,38,-1.6345784505208334,1.0,0.0,0.0,1.0
58,7,0.0,0.0,-0.0047757787219548,1.0,1.0
56,42,-0.0104839020801437,1.0,0.0,0.0,1.0
58,6,0.0,0.0,-0.0036334829815363,1.0,1.0
33,12,-0.4703125,1.0,0.0,0.0,1.0
32,22,-0.0333336005776615,1.0,0.0,0.0,1.0
31,47,-0.0506331832320601,1.0,0.0,0.0,1.0
33,21,0.0,0.0,-0.0639078776041666,1.0,1.0
73,38,0.0,0.0,-0.0069691468093354,1.0,1.0
60,26,0.0,0.0,-0.0136197261462179,1.0,1.0
66,38,-0.1588090538978576,1.0,0.0,0.0,1.0
69,45,0.0,0.0,-0.0058100425590903,1.0,1.0
77,52,-0.0367111051925505,1.0,0.0,0.0,1.0
76,57,-0.0105033236896613,1.0,0.0,0.0,1.0
78,5,0.0,0.0,-0.0135328075553797,1.0,1.0
78,24,0.0,0.0,-0.1075049506293402,1.0,1.0
