layer,head,avg_sas_no_cot,frequency_no_cot,avg_sas_2S_cot,frequency_2S_cot,total_frequency
29,9,-1.6804945882111744,11.0,-0.2785590905994014,10.0,21.0
20,23,-4.298007669524879,8.0,-1.7364537368971484,12.0,20.0
42,30,-2.634230155049676,10.0,-0.20313425592895554,8.0,18.0
50,20,-1.8465631026948224,5.0,-0.591626885836008,9.0,14.0
41,4,-0.0576380775088355,1.0,-0.221791685586724,12.0,13.0
36,23,-3.9617141857000866,7.0,-1.57448437847377,5.0,12.0
16,22,-1.0313472496215228,8.0,-0.0801882122093218,3.0,11.0
41,35,-2.9698969866154363,5.0,-0.3109486158810111,6.0,11.0
54,1,-1.293199748755563,5.0,-0.8937335355284645,6.0,11.0
32,20,0.0,0.0,-1.5166108261138453,10.0,10.0
48,19,-0.9445317038643916,6.0,-0.4493867663528006,4.0,10.0
57,18,-1.059802267768399,7.0,-0.07645919480808017,3.0,10.0
37,24,-1.6239312290841714,9.0,0.0,0.0,9.0
32,24,-4.503595863923502,9.0,0.0,0.0,9.0
8,0,-5.082693656458671,9.0,0.0,0.0,9.0
24,16,-1.116341812653907,4.0,-0.21709216631290618,5.0,9.0
26,30,-1.6307410539355474,9.0,0.0,0.0,9.0
41,6,-1.0269525799010164,4.0,-0.15328201682630432,4.0,8.0
32,22,-0.6783650721697926,4.0,-0.1390488165304725,3.0,7.0
25,35,-1.6651564276194453,7.0,0.0,0.0,7.0
17,36,0.0,0.0,-1.1236738478762383,7.0,7.0
25,7,-4.833539690290179,4.0,-3.62890625,2.0,6.0
41,7,-4.786834716796875,2.0,-2.0109549628363714,4.0,6.0
32,16,0.0,0.0,-0.26084219224546723,5.0,5.0
20,20,-3.6693697876576374,5.0,0.0,0.0,5.0
24,21,-4.046875,1.0,-1.4734137344598754,4.0,5.0
35,25,-0.19629984461080177,3.0,-0.4071453781443692,2.0,5.0
34,10,0.0,0.0,-1.2725453292117983,5.0,5.0
36,37,-2.4632383203830845,4.0,-1.921875,1.0,5.0
35,23,0.0,0.0,-1.5033985425067204,5.0,5.0
59,31,-0.12746344749233757,2.0,-0.03834674305159885,2.0,4.0
41,24,0.0,0.0,-0.11622763486644484,4.0,4.0
53,19,-5.9375,1.0,-1.6708157275378495,3.0,4.0
61,17,0.0,0.0,-0.1009147367240895,4.0,4.0
33,39,0.0,0.0,-0.1302702230227065,4.0,4.0
36,24,0.0,0.0,-0.8858747888972455,4.0,4.0
42,32,-4.650390625,4.0,0.0,0.0,4.0
1,17,-0.5955793328555007,3.0,0.0,0.0,3.0
13,36,-3.3151971726190474,3.0,0.0,0.0,3.0
40,16,-1.05078125,1.0,-0.2290152868473302,2.0,3.0
34,39,-0.1010684017844043,2.0,-0.7066446940104166,1.0,3.0
39,10,-2.195433601500496,3.0,0.0,0.0,3.0
51,11,-6.21875,1.0,-0.8556206372319436,2.0,3.0
27,19,-0.4796185663531667,3.0,0.0,0.0,3.0
61,22,-1.5708244077620968,2.0,0.0,0.0,2.0
54,2,-0.860595703125,1.0,-0.0897152549342105,1.0,2.0
54,4,0.0,0.0,-0.10105253520764801,2.0,2.0
28,11,0.0,0.0,-0.19779648319367435,2.0,2.0
2,38,-0.27564502014864367,2.0,0.0,0.0,2.0
1,29,-0.6086092642757086,2.0,0.0,0.0,2.0
42,3,-0.0849047378754951,1.0,-0.0189892036814085,1.0,2.0
40,21,0.0,0.0,-0.9253767866143434,2.0,2.0
38,37,0.0,0.0,-0.06417278246188055,2.0,2.0
38,36,-4.224815538194445,2.0,0.0,0.0,2.0
35,35,-6.5,1.0,-3.9375,1.0,2.0
19,25,-0.3562883703751875,2.0,0.0,0.0,2.0
18,27,0.0,0.0,-0.17136118672091974,2.0,2.0
25,3,0.0,0.0,-0.5660508473714192,2.0,2.0
24,8,0.0,0.0,-0.6057637532552083,2.0,2.0
25,4,-0.0904570908574333,1.0,-2.1289469401041665,1.0,2.0
7,32,-0.1607555284263184,2.0,0.0,0.0,2.0
25,6,-1.0986328125,1.0,-0.0166283992298862,1.0,2.0
26,32,-7.15625,1.0,-0.0609824657440185,1.0,2.0
3,10,-0.5816853975259558,2.0,0.0,0.0,2.0
15,30,0.0,0.0,-0.328125,1.0,1.0
14,36,-2.953125,1.0,0.0,0.0,1.0
14,9,-0.1000587033553862,1.0,0.0,0.0,1.0
13,25,0.0,0.0,-0.7544468470982143,1.0,1.0
18,39,-0.0548781622023809,1.0,0.0,0.0,1.0
3,3,-0.1008507097271126,1.0,0.0,0.0,1.0
5,4,-0.1248393156090561,1.0,0.0,0.0,1.0
26,3,-0.605736709222561,1.0,0.0,0.0,1.0
25,24,0.0,0.0,-0.188232421875,1.0,1.0
25,8,-0.074776275813231,1.0,0.0,0.0,1.0
24,20,0.0,0.0,-0.1067084110144412,1.0,1.0
22,2,0.0,0.0,-0.0101773334525482,1.0,1.0
22,17,0.0,0.0,-0.0132514775147912,1.0,1.0
20,19,0.0,0.0,-0.0633500417073567,1.0,1.0
19,36,-0.1407631887516505,1.0,0.0,0.0,1.0
16,16,-0.0242375664038868,1.0,0.0,0.0,1.0
30,29,0.0,0.0,-0.58984375,1.0,1.0
30,9,0.0,0.0,-0.0609032480340254,1.0,1.0
29,12,0.0,0.0,-0.0131497570446559,1.0,1.0
27,30,0.0,0.0,-0.1600341796875,1.0,1.0
30,26,0.0,0.0,-1.3359375,1.0,1.0
33,30,-0.0880657249773052,1.0,0.0,0.0,1.0
34,38,0.0,0.0,-0.1323013305664062,1.0,1.0
38,17,-2.96875,1.0,0.0,0.0,1.0
36,6,-0.0602237002950319,1.0,0.0,0.0,1.0
36,15,0.0,0.0,-2.5625,1.0,1.0
36,16,0.0,0.0,-2.7578125,1.0,1.0
35,27,0.0,0.0,-0.0591976768092105,1.0,1.0
40,4,0.0,0.0,-0.0098630893997281,1.0,1.0
40,28,0.0,0.0,-0.69140625,1.0,1.0
41,15,0.0,0.0,-0.1114466903123213,1.0,1.0
45,13,-0.1921392946827168,1.0,0.0,0.0,1.0
41,39,-0.0348959459511352,1.0,0.0,0.0,1.0
41,18,0.0,0.0,-0.0315354551587786,1.0,1.0
48,34,0.0,0.0,-0.1896514892578125,1.0,1.0
48,30,0.0,0.0,-0.0233901722330442,1.0,1.0
46,38,0.0,0.0,-0.248046875,1.0,1.0
55,20,0.0,0.0,-0.5234375,1.0,1.0
60,11,-0.0197119234127358,1.0,0.0,0.0,1.0
