layer,head,avg_sas_no_cot,frequency_no_cot,avg_sas_2S_cot,frequency_2S_cot,total_frequency
8,25,1.2972395148846525,11.0,0.13143351905426734,7.0,18.0
8,22,2.6815232739348276,8.0,0.6432569958236362,6.0,14.0
0,15,0.7618186774979134,8.0,0.10051895696243203,5.0,13.0
17,26,0.5796431041317528,12.0,0.0,0.0,12.0
26,6,0.038038300304878,1.0,0.10313737444481456,11.0,12.0
17,24,2.5012256625569753,6.0,0.41794128982815354,5.0,11.0
8,27,0.0,0.0,1.5968341936253898,9.0,9.0
8,21,2.748037844196902,9.0,0.0,0.0,9.0
12,24,0.6873180700231482,2.0,0.4816314462395849,7.0,9.0
14,0,2.3322899661847014,1.0,0.8274333382377344,8.0,9.0
16,3,0.6176142653677993,8.0,0.0,0.0,8.0
23,13,0.2317030728973955,5.0,0.06543384923116023,3.0,8.0
14,6,2.6285224276254344,8.0,0.0,0.0,8.0
15,20,2.191594050480769,1.0,0.612257099032346,6.0,7.0
17,14,0.8242077472300173,4.0,0.050383707682291654,2.0,6.0
16,1,2.512650420853546,6.0,0.0,0.0,6.0
27,10,0.4692673343257802,4.0,0.1800160256410493,2.0,6.0
2,26,0.40553547849691685,5.0,0.0,0.0,5.0
15,18,0.0,0.0,0.501773541595185,5.0,5.0
14,12,0.0,0.0,0.1118211209206917,5.0,5.0
14,8,0.0,0.0,0.2867857419464747,4.0,4.0
10,2,0.30885536866169777,3.0,0.0790136428106398,1.0,4.0
26,19,0.10473228482036515,2.0,0.02335566891384325,2.0,4.0
19,22,0.0,0.0,0.15149416149172004,4.0,4.0
5,5,0.0,0.0,0.14407561164185673,4.0,4.0
14,1,0.31074678725090576,2.0,0.07957781444896345,2.0,4.0
17,8,0.29979980203775775,3.0,0.0,0.0,3.0
25,13,0.0,0.0,0.0516318591382417,3.0,3.0
3,13,0.5316539389268039,3.0,0.0,0.0,3.0
1,0,0.9925446686921297,3.0,0.0,0.0,3.0
8,26,0.2450110394021739,1.0,0.0603026540993841,2.0,3.0
2,6,0.0,0.0,0.05026697377259107,3.0,3.0
22,5,0.0135225089064791,1.0,0.072885928531369,2.0,3.0
24,8,0.0,0.0,0.0619432732590243,2.0,2.0
27,11,0.0,0.0,0.07004544485926034,2.0,2.0
16,9,0.0,0.0,0.06792985126649065,2.0,2.0
14,18,0.58929443359375,1.0,0.0255738830566406,1.0,2.0
18,10,0.0,0.0,0.09380282958348585,2.0,2.0
21,24,0.0,0.0,0.0700454429727821,2.0,2.0
19,17,0.0,0.0,0.12913419283353364,2.0,2.0
26,2,0.0090160831328361,1.0,0.0775780470474906,1.0,2.0
22,4,0.339886983235677,1.0,0.0040267305639831,1.0,2.0
3,11,2.1881521651993934,2.0,0.0,0.0,2.0
8,12,0.0,0.0,0.1488873408390925,2.0,2.0
4,11,2.1182766391080223,2.0,0.0,0.0,2.0
3,14,0.0349940850482723,2.0,0.0,0.0,2.0
0,3,0.0,0.0,0.534539138476048,2.0,2.0
2,17,0.0283760579427083,1.0,0.0,0.0,1.0
14,3,0.4166015625,1.0,0.0,0.0,1.0
11,24,0.0,0.0,0.0366414388020833,1.0,1.0
11,26,0.0,0.0,0.577105712890625,1.0,1.0
12,27,0.0412223307291666,1.0,0.0,0.0,1.0
9,8,0.0,0.0,0.0769060770670573,1.0,1.0
11,8,0.0,0.0,0.0900281270345052,1.0,1.0
7,6,0.0111142155711601,1.0,0.0,0.0,1.0
8,0,0.0,0.0,0.0439288799579326,1.0,1.0
5,1,3.00859375,1.0,0.0,0.0,1.0
6,17,0.0114237765762463,1.0,0.0,0.0,1.0
15,14,0.0438012844178734,1.0,0.0,0.0,1.0
16,7,0.0,0.0,0.1615936279296875,1.0,1.0
18,15,0.0,0.0,0.049774169921875,1.0,1.0
21,5,0.1668454192405523,1.0,0.0,0.0,1.0
24,10,0.1659021244492641,1.0,0.0,0.0,1.0
27,13,0.0,0.0,0.0803573324476867,1.0,1.0
