layer,head,avg_sas_no_cot,frequency_no_cot,avg_sas_2S_cot,frequency_2S_cot,total_frequency
42,30,2.735772597621616,13.0,1.070999351401664,14.0,27.0
24,21,3.855903332309582,4.0,2.4360039180448334,12.0,16.0
20,23,3.9607549309912593,5.0,2.298524147261206,10.0,15.0
29,9,1.4765998045400388,5.0,0.8020584380693204,10.0,15.0
50,20,0.906002067459721,7.0,0.6223777635693755,8.0,15.0
36,23,4.35215301683713,6.0,2.871308816881209,6.0,12.0
25,7,4.605226944330949,6.0,1.7131883853588141,6.0,12.0
39,10,1.916983019751143,6.0,0.9472449893043154,6.0,12.0
16,22,0.6384161394003306,6.0,0.21446455065526787,5.0,11.0
41,35,0.39668752824153347,3.0,1.307668258872652,8.0,11.0
57,18,1.5152592991345608,7.0,0.5024029480525024,4.0,11.0
24,16,1.1524737602122823,10.0,0.2723886937270929,1.0,11.0
41,4,0.25639960201617334,3.0,0.26541644952652893,7.0,10.0
54,1,1.227888354126681,4.0,0.37706747570821686,6.0,10.0
37,24,2.5674146187112763,10.0,0.0,0.0,10.0
48,19,1.2683965253496503,3.0,0.6888287046097438,7.0,10.0
41,6,2.555675588118022,3.0,0.8753177684742015,7.0,10.0
35,25,0.40202622746192296,5.0,0.14930807772235177,4.0,9.0
38,30,5.007825915549944,9.0,0.0,0.0,9.0
25,35,0.9649194089330808,3.0,0.5107877914807571,6.0,9.0
40,16,2.073330206620066,2.0,0.790199364789094,6.0,8.0
32,24,4.752546950630836,8.0,0.0,0.0,8.0
26,30,2.0214586923985496,7.0,0.77392578125,1.0,8.0
59,31,0.6042497742199248,3.0,0.741693878746308,5.0,8.0
8,0,4.325516556387092,7.0,0.0,0.0,7.0
38,11,0.28156980571243556,5.0,0.5801820300874256,2.0,7.0
35,23,0.0,0.0,2.6892231859007807,7.0,7.0
36,37,5.069732549758184,5.0,4.6953125,1.0,6.0
42,32,5.105802639849482,5.0,4.54296875,1.0,6.0
53,19,0.0,0.0,1.7665125756591848,6.0,6.0
20,20,4.2342255802823825,5.0,0.0,0.0,5.0
38,36,4.69535861710043,5.0,0.0,0.0,5.0
36,36,6.114138624403211,3.0,4.18397216796875,2.0,5.0
32,20,0.0,0.0,1.716030739186537,5.0,5.0
61,17,0.0,0.0,0.30369856950143276,4.0,4.0
21,24,0.30646122785604685,3.0,0.0233409452122568,1.0,4.0
22,36,0.22342881150386498,3.0,0.230025670745156,1.0,4.0
36,16,0.0,0.0,1.7771590433492288,4.0,4.0
32,23,0.0,0.0,1.8124419119522628,4.0,4.0
25,27,0.5150027812062525,3.0,0.0,0.0,3.0
16,24,3.511464567245817,3.0,0.0,0.0,3.0
25,4,0.0,0.0,0.13294377386294856,3.0,3.0
25,6,0.0,0.0,0.36296020337862106,3.0,3.0
61,22,2.723958333333333,1.0,0.4375257716550455,2.0,3.0
29,12,0.0,0.0,0.11420426564434476,3.0,3.0
34,39,1.9352749911221592,2.0,0.5205020904541016,1.0,3.0
25,24,0.0,0.0,0.33399021360609266,3.0,3.0
45,8,0.0,0.0,0.21421320173475475,3.0,3.0
35,35,6.625,2.0,0.0,0.0,2.0
28,2,0.4377850611275489,2.0,0.0,0.0,2.0
45,13,0.0,0.0,0.47194461822509765,2.0,2.0
51,11,0.0,0.0,1.4482494632752012,2.0,2.0
41,7,4.654296875,1.0,1.867204938616072,1.0,2.0
16,16,1.8086294694380325,2.0,0.0,0.0,2.0
29,35,0.0277570953048353,1.0,0.0093203613452336,1.0,2.0
19,36,0.933837890625,2.0,0.0,0.0,2.0
24,8,0.0,0.0,0.341228576368122,2.0,2.0
20,19,0.6274096002641892,2.0,0.0,0.0,2.0
1,29,0.92109375,1.0,0.0,0.0,1.0
13,36,1.978759765625,1.0,0.0,0.0,1.0
7,33,0.0949795098952305,1.0,0.0,0.0,1.0
18,38,0.0945018250265239,1.0,0.0,0.0,1.0
22,17,0.0,0.0,0.0307225918551103,1.0,1.0
26,32,5.5625,1.0,0.0,0.0,1.0
26,22,0.0,0.0,2.708333333333333,1.0,1.0
26,3,0.9242838541666668,1.0,0.0,0.0,1.0
25,15,1.381591796875,1.0,0.0,0.0,1.0
24,20,0.0,0.0,0.2224132524664949,1.0,1.0
1,17,1.0526692708333334,1.0,0.0,0.0,1.0
39,17,2.1279987535978617,1.0,0.0,0.0,1.0
40,4,0.2478187247498394,1.0,0.0,0.0,1.0
27,19,0.1278899306551032,1.0,0.0,0.0,1.0
30,26,0.0,0.0,0.3414265950520833,1.0,1.0
35,36,0.0,0.0,0.2621744791666666,1.0,1.0
37,21,0.23828125,1.0,0.0,0.0,1.0
32,16,0.0,0.0,0.2881944444444444,1.0,1.0
32,22,0.0,0.0,0.284912109375,1.0,1.0
33,36,0.0,0.0,0.2861328125,1.0,1.0
35,24,0.0,0.0,3.1570068359375,1.0,1.0
46,26,0.0,0.0,1.84375,1.0,1.0
45,9,0.0,0.0,0.2663981119791667,1.0,1.0
44,11,1.5729942321777344,1.0,0.0,0.0,1.0
44,2,0.0,0.0,0.5435943603515625,1.0,1.0
42,34,0.0,0.0,2.46875,1.0,1.0
42,6,0.0552544850789144,1.0,0.0,0.0,1.0
52,30,0.0,0.0,2.520860754925272,1.0,1.0
53,5,0.3005259831746419,1.0,0.0,0.0,1.0
60,4,1.0789021809895831,1.0,0.0,0.0,1.0
56,6,0.0986421779244245,1.0,0.0,0.0,1.0
60,10,0.0307735237276629,1.0,0.0,0.0,1.0
60,9,0.2729848225911458,1.0,0.0,0.0,1.0
60,11,0.0,0.0,0.0114960704875026,1.0,1.0
62,18,0.9295674641927084,1.0,0.0,0.0,1.0
62,28,0.0,0.0,0.0081537590213981,1.0,1.0
62,38,0.0,0.0,0.1197092156661184,1.0,1.0
