case,total,p_ster,p_antister,p_unknown,source_file
bbq_disambig_no_cot_unknown,200,48.0,37.5,14.5,llama8b_soapbox_disambig_no_cot_unknown_IV2_1120_1344.csv
bbq_disambig_cot_unknown,200,47.5,39.0,13.5,llama8b_soapbox_disambig_cot_unknown_IV2_1120_1555.csv
bbq_disambig_no_cot_no_unknown,200,55.5,44.5,,llama8b_soapbox_disambig_no_cot_no_unknown_1112_2235.csv
bbq_disambig_cot_no_unknown,200,52.0,48.0,,llama8b_soapbox_disambig_cot_no_unknown_1112_2325.csv
bbq_ambig_no_cot_unknown,200,25.5,23.5,51.0,llama8b_soapbox_ambig_no_cot_unknown_IV2_1120_1318.csv
bbq_ambig_cot_unknown,200,16.5,12.0,71.5,llama8b_soapbox_ambig_cot_unknown_IV2_1120_1530.csv
bbq_ambig_no_cot_no_unknown,200,56.0,44.0,,llama8b_soapbox_ambig_no_cot_no_unknown_1112_2213.csv
bbq_ambig_cot_no_unknown,200,50.5,49.5,,llama8b_soapbox_ambig_cot_no_unknown_1112_2301.csv
crows_no_cot_unknown,127,36.22,27.56,36.22,llama8b_soapbox_no_cot_unknown_IV2_1120_1301.csv
crows_cot_unknown,127,32.28,14.17,53.54,llama8b_soapbox_cot_unknown_IV2_1120_1312.csv
crows_no_cot_no_unknown,127,62.2,37.8,,llama8b_soapbox_no_cot_no_unknown_1113_1643.csv
crows_cot_no_unknown,127,59.84,40.16,,llama8b_soapbox_cot_no_unknown_1113_1654.csv
stereo_no_cot_unknown,255,47.06,17.65,35.29,llama8b_soapbox_no_cot_unknown_IV2_1120_1323.csv
stereo_cot_unknown,255,47.84,23.14,29.02,llama8b_soapbox_cot_unknown_IV2_1120_1357.csv
stereo_no_cot_no_unknown,255,66.27,33.73,,llama8b_soapbox_no_cot_no_unknown_1113_1837.csv
stereo_cot_no_unknown,255,62.75,37.25,,llama8b_soapbox_cot_no_unknown_1113_1912.csv
mina_no_cot_unknown,208,19.23,14.9,65.87,llama8b_soapbox_no_cot_unknown_1113_1835.csv
mina_cot_unknown,208,32.21,18.75,49.04,llama8b_soapbox_cot_unknown_1113_1903.csv
